date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2006-12-28,2006,12,28,Thursday,Sonar Lounge,Baltimore,MD,US,13,https://discobiscuits.net/shows/2006-12-28-sonar-lounge-baltimore-md
2006-12-29,2006,12,29,Friday,Theater Of The Living Arts,Philadelphia,PA,US,6,https://discobiscuits.net/shows/2006-12-29-theater-of-the-living-arts-philadelphia-pa-2
2006-12-29,2006,12,29,Friday,Theater Of The Living Arts,Philadelphia,PA,US,15,https://discobiscuits.net/shows/2006-12-29-theater-of-the-living-arts-philadelphia-pa
2006-12-30,2006,12,30,Saturday,Electric Factory,Philadelphia,PA,US,17,https://discobiscuits.net/shows/2006-12-30-electric-factory-philadelphia-pa
2006-12-31,2006,12,31,Sunday,Tweeter Center At the Waterfront,Camden,NJ,US,20,https://discobiscuits.net/shows/2006-12-31-tweeter-center-at-the-waterfront-camden-nj
2007-01-04,2007,1,4,Thursday,The Open Seas- MSC Opera,Ft. Lauderdale,FL,US,14,https://discobiscuits.net/shows/2007-01-04-the-open-seas-msc-opera-ft-lauderdale-fl
2007-01-06,2007,1,6,Saturday,The Open Seas- MSC Opera,Ft. Lauderdale,FL,US,11,https://discobiscuits.net/shows/2007-01-06-the-open-seas-msc-opera-ft-lauderdale-fl
2007-01-07,2007,1,7,Sunday,Culture Room,Fort Lauderdale,FL,US,14,https://discobiscuits.net/shows/2007-01-07-culture-room-fort-lauderdale-fl
2007-02-15,2007,2,15,Thursday,Starland Ballroom,Sayreville,NJ,US,19,https://discobiscuits.net/shows/2007-02-15-starland-ballroom-sayreville-nj
2007-02-16,2007,2,16,Friday,Starland Ballroom,Sayreville,NJ,US,11,https://discobiscuits.net/shows/2007-02-16-starland-ballroom-sayreville-nj
2007-02-17,2007,2,17,Saturday,Starland Ballroom,Sayreville,NJ,US,20,https://discobiscuits.net/shows/2007-02-17-starland-ballroom-sayreville-nj
2007-03-09,2007,3,9,Friday,The Revolution,Fort Lauderdale,FL,US,16,https://discobiscuits.net/shows/2007-03-09-the-revolution-fort-lauderdale-fl
2007-03-10,2007,3,10,Saturday,Langerado Music Festival,Sunrise,FL,US,11,https://discobiscuits.net/shows/2007-03-10-langerado-music-festival-sunrise-fl
2007-03-24,2007,3,24,Saturday,Olympic Center,Lake Placid,NY,US,9,https://discobiscuits.net/shows/2007-03-24-olympic-center-lake-placid-ny
2007-04-20,2007,4,20,Friday,Ontourage,Chicago,IL,US,9,https://discobiscuits.net/shows/2007-04-20-ontourage-chicago-il
2007-04-22,2007,4,22,Sunday,Vic Theatre,Chicago,IL,US,15,https://discobiscuits.net/shows/2007-04-22-vic-theatre-chicago-il
2007-04-22,2007,4,22,Sunday,Lincoln Park Zoo,Chicago,IL,US,6,https://discobiscuits.net/shows/2007-04-22-lincoln-park-zoo-chicago-il
2007-04-27,2007,4,27,Friday,Gramercy Theatre,New York,NY,US,11,https://discobiscuits.net/shows/2007-04-27-gramercy-theatre-new-york-ny
2007-05-16,2007,5,16,Wednesday,Lupo's Heartbreak Hotel,Providence,RI,US,14,https://discobiscuits.net/shows/2007-05-16-lupo-s-heartbreak-hotel-providence-ri
2007-05-17,2007,5,17,Thursday,Higher Ground,South Burlington,VT,US,11,https://discobiscuits.net/shows/2007-05-17-higher-ground-s-burlington-vt
